2439,demon1999,Technocup 2017 - Elimination Round 1 (Unofficially Open for Everyone, Rated for Div. 2)
2430,WYZFL,Educational Codeforces Round 132 (Rated for Div. 2)
2421,apei,Codeforces Round #840 (Div. 2) and Enigma 2022 - Cybros LNMIIT
2400,klimmek55,Educational Codeforces Round 103 (Rated for Div. 2)
2400,afterall,Codeforces Round #685 (Div. 2)
2399,BanRussiaAtIOI,Technocup 2017 - Elimination Round 1 (Unofficially Open for Everyone, Rated for Div. 2)
2398,hydro-bot1,Codeforces Round #798 (Div. 2)
2398,tuagoale,Educational Codeforces Round 106 (Rated for Div. 2)
2395,hs-zzz,Educational Codeforces Round 101 (Rated for Div. 2)
2389,_gxyd,Codeforces Round #838 (Div. 2)
2386,disorientation,Educational Codeforces Round 123 (Rated for Div. 2)
2382,Nephren--Ruq--Insania,Codeforces Round #832 (Div. 2)
2381,End.,Codeforces Round #747 (Div. 2)
2380,Pa.Nic,Codeforces Round #648 (Div. 2)
2371,tobias.glimmerfors,Educational Codeforces Round 99 (Rated for Div. 2)
2370,jiangly_fan_fan_fan_fan,Codeforces Round #845 (Div. 2) and ByteRace 2023
2370,Depth_First_Search,Codeforces Round #688 (Div. 2)
2370,Electromaster,Educational Codeforces Round 93 (Rated for Div. 2)
2369,Ehaam,Codeforces Round #649 (Div. 2)
2368,AnsuFati,Codeforces Round #632 (Div. 2)
2363,iztrax,Codeforces Round #813 (Div. 2)
2362,Isouau,Educational Codeforces Round 94 (Rated for Div. 2)
2360,1004535809,Educational Codeforces Round 101 (Rated for Div. 2)
2359,afo,Codeforces Round #757 (Div. 2)
2359,fmota,Codeforces Round #613 (Div. 2)
2358,Akemi-Homura,Codeforces Round #818 (Div. 2)
2356,yjxKawaii,Codeforces Round #741 (Div. 2)
2354,YuezhengLing,Codeforces Round #770 (Div. 2)
2352,njwlwz,Codeforces Round #852 (Div. 2)
2352,golikovnik,Educational Codeforces Round 92 (Rated for Div. 2)
2351,MilimNava,Codeforces Round #763 (Div. 2)
2350,A-SOUL_Official,Educational Codeforces Round 126 (Rated for Div. 2)
2350,Sugimoto,Educational Codeforces Round 85 (Rated for Div. 2)
2350,MesyuraTheOldDumbGoblin,Educational Codeforces Round 68 (Rated for Div. 2)
2349,wygz,Codeforces Round #843 (Div. 2)
2349,Beduardo,Codeforces Round #798 (Div. 2)
2349,5times187,Codeforces Round #638 (Div. 2)
2347,IhcNerNaug,Educational Codeforces Round 143 (Rated for Div. 2)
2347,KHIN_236807,Codeforces Round #833 (Div. 2)
2347,star0-0,Educational Codeforces Round 118 (Rated for Div. 2)
2347,137_345_2814,Educational Codeforces Round 96 (Rated for Div. 2)
2346,Eccentricity,Codeforces Round #508 (Div. 2)
2345,flowerletter,Educational Codeforces Round 103 (Rated for Div. 2)
2344,eplic,Educational Codeforces Round 125 (Rated for Div. 2)
2344,Skyqwq,Educational Codeforces Round 116 (Rated for Div. 2)
2344,jhnan917,Educational Codeforces Round 89 (Rated for Div. 2)
2344,imdone,Educational Codeforces Round 88 (Rated for Div. 2)
2343,Tsypkokokokoko,Codeforces Round #610 (Div. 2)
2342,Xylenox,Codeforces Round #812 (Div. 2)
2342,xin_chen,Codeforces Round #724 (Div. 2)
2342,davooddkareshki,Codeforces Round #628 (Div. 2)
2342,Afterglow,CodeCraft-20 (Div. 2)
2342,pekempey,Educational Codeforces Round 53 (Rated for Div. 2)
2340,CharlieV,Codeforces Round #830 (Div. 2)
2340,nowhk,Educational Codeforces Round 127 (Rated for Div. 2)
2340,kaixinqi,Codeforces Round #657 (Div. 2)
